id,name,device type ,ethernet ports,wifi ports,bandwidth (Mbps),bandwidth 6ghz,bandwidth 5ghz,bandwidth 2.4ghz,Supported Protocols,Max Devices Supported,PoE Support,VLAN Support,Security Features,Coverage (m^2),Frequency,Power Consumption,Latency (s),manu,price (usd),url,img url
BE11000,BE11000 Ceiling Mount Tri-Band Wi-Fi 7 Access Point,Access Point,1× 2.5G,"Tri-Band (6 GHz, 5 GHz, 2.4 GHz)",5765 Mbps (6 GHz) + 4324 Mbps (5 GHz) + 688 Mbps (2.4 GHz),,,,IEEE 802.11 a/b/g/n/ac/ax/be,380+ wireless clients,802.3at PoE or 12V/2.5A DC,Yes,"WPA-Personal/Enterprise, WPA2-Personal/Enterprise, WPA3-Personal/Enterprise, Captive Portal Authentication, Access Control, MAC Filter (4,000 max), Rogue AP Detection, Wireless Isolation Between Clients",140㎡ (1500 ft²),"6 GHz, 5 GHz, and 2.4 GHz","25.44 W (PoE), 22.57 W (DC)",,tplink,189.99,https://www.amazon.com/EAP773-Tri-Band-Multi-link-operation-Integrated/dp/B0CTL1Y9YR?th=1,https://static.tp-link.com/upload/image-line/%E7%94%BB%E6%9D%BF_2_normal_20250110054702e.jpg
EAP110,EAP110 300Mbps Wireless N Ceiling Mount Access Point,Access Point,1× Fast Ethernet (RJ-45) Port (Supports Passive PoE),Single Band (2.4 GHz),Up to 300 Mbps (2.4 GHz),,,,"IEEE 802.11n, IEEE 802.11g, IEEE 802.11b",100+ concurrent clients,24V Passive PoE,Yes (SSID to VLAN Mapping),"WPA/WPA2-Personal/Enterprise, 802.1X, Captive Portal Authentication, MAC Address Filtering, Wireless Isolation Between Clients, Rogue AP Detection",60㎡ (650 ft²),2.4–2.4835 GHz,2.8 W,,tplink,39.99,https://www.amazon.com/TP-Link-EAP110-Outdoor-V3-Installation-Controller/dp/B07CG3YRTR/ref=sr_1_1?crid=1VVX1SQH7M8LT&dib=eyJ2IjoiMSJ9.pbF_AlQmtj-VwwhLG67WlyP8tIj95dej-H6LiaTdb1sBRExPLZvqrPoML3VU7f0-0F07EIpqG_4Yf2877Z_HU0KcyuFw-l4N9ltnBbJnCHdCiUNDJHd0p04hzqd-wHsG2dVnJYf-2UGq6ve831OHL00Av3S5oj3tXU5B4Hvh8vcsh6GQsfro9MNoXrGJpYdUeT3kR-J8nHZOkUjljQcQpm9vJSU9UfgOOV-k8YW8OZQ.8bs0dMGlXt53H98mu2HgzIGCEwfoBtXbiIb-MPXAXVY&dib_tag=se&keywords=eap110&qid=1736673859&sprefix=eap110%2Caps%2C369&sr=8-1&th=1,https://static.tp-link.com/upload/image-line/01_normal_20250109111526g.jpg
AX3000,AX3000 Wall Plate WiFi 6 Access Point,Access Point,"1× Uplink 10/100/1000 Mbps, 1× Downlink 10/100/1000 Mbps",Dual Band (2.4 GHz and 5 GHz),574 Mbps (2.4 GHz) + 2402 Mbps (5 GHz),,,,IEEE 802.11ax/ac/n/g/b/a,100+ concurrent clients,802.3af PoE,Yes,"WPA/WPA2/WPA3-Personal/Enterprise, Captive Portal Authentication, MAC Filtering, Wireless Isolation, Rogue AP Detection, 802.1X Support",40㎡ (450 ft²),2.4 GHz and 5 GHz,10.5 W (EU),,tplink,133,https://docs.google.com/spreadsheets/d/1Tqnjl1hScRpOlKHInuHvoz0FKatBfPRjwyK18Vt5jBI/edit?gid=0#gid=0,https://static.tp-link.com/upload/image-line/EAP650-Wall_EU_overview_2.0_01_normal_20240925054357x.jpg
EAP625,EAP625-Outdoor HD Hot Buys AX1800 Indoor/Outdoor Wi-Fi 6 Access Point,Access Point,1× Gigabit Ethernet Port,Dual Band (2.4 GHz and 5 GHz),574 Mbps (2.4 GHz) + 1201 Mbps (5 GHz),,,,IEEE 802.11 a/b/g/n/ac/ax,"1,020+ concurrent clients",802.3at PoE and 48V Passive PoE,Yes,"WPA/WPA2/WPA3-Personal/Enterprise, 802.1X, Captive Portal Authentication, MAC Filtering (up to 4,000), Wireless Isolation, Rogue AP Detection",Long-range coverage (with high-power amplifier and external antennas),2.4 GHz and 5 GHz,"12.5 W (EU), 14.7 W (US)",,tplink,149.99,https://multilink.us/tp-link-eap625-outdoor-hd-ax1800-indoor-outdoor-wi-fi-6-access-point/,https://bizweb.dktcdn.net/thumb/1024x1024/100/504/042/products/eap625-outdoorhd-2.jpg?v=1726660901670
EAP610GP,EAP610GP-Desktop New AX1800 Wi-Fi 6 Desktop GPON Access Point,Access Point,4× Gigabit RJ45 Ports (1 hỗ trợ 802.3af PoE Out),Dual Band (2.4 GHz và 5 GHz),574 Mbps (2.4 GHz) + 1201 Mbps (5 GHz),,,,"IEEE 802.11 a/b/g/n/ac/ax, ITU-984.x, G.988",120+ concurrent clients,802.3af PoE Out,Yes,"WPA/WPA2/WPA3-Personal/Enterprise, 802.1X, MAC Filtering, Captive Portal, Rogue AP Detection, Wireless Isolation",140㎡ (1500 ft²),2.4 GHz và 5 GHz,17.3W (PoE Out Off),,tplink,148.42,https://www.thesecurityoutlet.co.nz/products/tl-eap610gp-desktop_-_tp_link_eap610gp-desktop_omada_ax1800_wi-fi_6_desktop_gpon_access_point,https://static.tp-link.com/upload/image-line/EAP610GP-Desktop_UN_1.0_overview_01_normal_20240703084410q.jpg
SX6632YF ,SX6632YF Omada 26-Port 10G Stackable L3 Managed Aggregation Switch,Switch,"26× 10G SFP+ Slots, 6× 25G SFP28 Slots, 1× RJ45 Management Port",,820 Gbps Switching Capacity,,,,"RIP, OSPF, VRRP, PIM-DM, PIM-SM, DHCP Server/Relay, 802.3ad LACP",,,"VLAN Group (802.1q), Private VLAN, Voice VLAN, VLAN VPN (QinQ)","802.1X, DoS Defend, ARP Inspection, IP-MAC-Port Binding, AAA, SSH",,,86.7 W (110 V/60 Hz),,tplink,3737.47,https://www.comms-express.com/products/tp-link-sx6632yf-omada-26-port-10g-stackable-l3-managed-aggregation-switch-6-25g-slots/,https://static.tp-link.com/upload/image-line/SX6632YF_01_normal_20240109113052z.jpg
SX3016F ,SX3016F Omada 16-Port 10GE SFP+ L2+ Managed Switch,Switch,"16× 10G SFP+ Slots, 1× RJ45 Console Port, 1× Micro-USB Console Port",,320 Gbps Switching Capacity,,,,"Static Routing, VLAN, IGMP Snooping, QoS, ERPS, DHCP Relay",,,"VLAN Group (802.1q), Private VLAN, Voice VLAN, VLAN VPN (QinQ)","802.1X, IP-MAC-Port Binding, DoS Defend, DHCP Snooping, AAA, SSH",,,32.74 W (220 V / 50 Hz),,tplink,519.99,https://www.amazon.com/dp/B09PZB2CHW?ref=emc_p_m_5_i_atc&th=1,https://static.tp-link.com/upload/image-line/SX3016F_UN_1.20_01_normal_20240307000150q.jpg
SG3210 ,SG3210 Omada 8-Port Gigabit L2+ Managed Switch with 2 SFP Slots,Switch,"8× 10/100/1000 Mbps RJ45, 2× 100/1000 Mbps SFP Slots",,20 Gbps Switching Capacity,,,,"VLAN, QoS, IGMP Snooping, Static Routing, DHCP Relay, ERPS",,,"VLAN Group (802.1q), Private VLAN, Voice VLAN, VLAN VPN (QinQ)","802.1X, IP-MAC-Port Binding, DoS Defend, DHCP Snooping, AAA, SSH",,,6.84 W (220 V/50 Hz),,tplink,120.99,https://www.amazon.com/TP-Link-Gigabit-Ethernet-Managed-TL-SG3210/dp/B006B7R3YC/ref=sr_1_1?crid=1E7DZZFIZ7F0G&dib=eyJ2IjoiMSJ9.HWvYT2JIv9CtT2sXXY4Z5gookXVeoGyb2OLWHpKwS3e6dzduwe-56ntr36FfApHK._pphF3jmVj5IL5UgBfrRYKlaZ7Mr1cJ9QFAtWht_55s&dib_tag=se&keywords=SG3210&qid=1736675219&sprefix=sg3210%2Caps%2C286&sr=8-1,https://static.tp-link.com/upload/image-line/SG3210_UN_3.2_01_normal_20240204114650z.jpg
ES208G ,ES208G Omada 8-Port Gigabit Easy Managed Switch,Switch,8× 10/100/1000 Mbps RJ45 Ports,,16 Gbps Switching Capacity,,,,"VLAN, QoS, IGMP Snooping, Static Link Aggregation, LLDP",,,"MTU VLAN, Port-Based VLAN, 802.1Q Tag VLAN (32 Groups, 4K VID)","Loop Prevention, Storm Control",,,"3 W (5V/0.6A, tối đa)",,tplink,"74,99",https://www.amazon.com/TP-Link-TL-SG2008-Integrated-Aggregation-Protection/dp/B08TR19PTD,https://static.tp-link.com/upload/image-line/ES208G_UN_1.0_overview_01_normal_20241230012336s.jpg
DS1008X ,DS1008X Omada 8-Port 10G Unmanaged Desktop/Rackmount Switch,Switch,8× 100Mbps/1Gbps/2.5Gbps/5Gbps/10Gbps Ports,,160 Gbps Switching Capacity,,,,"IEEE 802.3, 802.3u, 802.3ab, 802.3x, 802.1p, 802.3an, 802.3bz",,,,,,,31.2 W (tối đa),,tplink,362.04,https://www.amazon.com/281117-Tp-link-Switch-Ds1008x-Multi-gigabit/dp/B0D6NMGS43,https://static.tp-link.com/upload/image-line/DS1008X_UN_1.0_1_normal_20240403032622e.jpg
